date,location,temp_c,feels_like_c,temp_max_c,temp_min_c,humidity_pct,precip_mm,precip_prob_pct,wind_kmh,uv_index,pm10,pm2_5,collected_at
2026-06-01,서울,20.6,21.0,27.8,16.3,58,0.0,0,1.5,3.15,34.6,32.7,2026-06-01T00:14:10.707106+00:00
2026-06-01,부산,23.8,24.3,28.0,17.5,52,0.0,0,3.3,3.4,23.2,19.9,2026-06-01T00:14:10.707106+00:00
2026-06-02,서울,22.0,23.2,29.3,15.4,61,0.0,0,2.9,4.5,62.2,51.1,2026-06-02T00:23:36.361689+00:00
2026-06-02,부산,21.3,25.0,21.6,18.9,97,0.6,96,4.4,0.4,8.8,7.7,2026-06-02T00:23:36.361689+00:00
2026-06-03,서울,25.6,29.3,28.8,17.3,60,0.0,0,2.1,6.1,21.3,14.1,2026-06-03T01:44:47.320610+00:00
2026-06-03,부산,26.5,31.7,26.9,17.7,68,0.0,1,1.1,6.05,10.4,9.2,2026-06-03T01:44:47.320610+00:00
2026-06-04,서울,23.4,27.0,26.1,18.4,85,0.0,53,4.6,3.3,51.0,42.7,2026-06-04T01:47:03.873342+00:00
2026-06-04,부산,23.2,25.5,24.5,19.4,81,0.0,20,10.0,5.7,11.5,8.4,2026-06-04T01:47:03.873342+00:00
2026-06-05,서울,18.9,19.2,25.4,15.7,70,0.0,0,8.4,4.75,8.9,6.9,2026-06-05T00:17:44.050687+00:00
2026-06-05,부산,24.1,26.6,30.7,18.4,73,0.0,0,9.7,4.95,25.3,19.0,2026-06-05T00:17:44.050687+00:00
2026-06-06,서울,18.1,19.2,26.3,13.7,77,0.0,0,3.5,4.45,24.8,22.3,2026-06-06T00:17:24.693910+00:00
2026-06-06,부산,23.1,23.4,25.1,16.4,61,0.0,0,12.4,4.65,23.6,16.9,2026-06-06T00:17:24.693910+00:00
2026-06-07,서울,19.7,19.5,23.8,17.7,60,0.0,27,5.4,3.8,18.7,15.0,2026-06-07T00:15:25.524486+00:00
2026-06-07,부산,21.8,24.2,22.1,19.6,89,0.1,31,9.6,0.6,17.8,12.7,2026-06-07T00:15:25.524486+00:00
2026-06-08,서울,20.9,22.6,26.3,17.3,75,0.0,3,4.7,3.75,21.8,15.2,2026-06-08T00:19:38.398794+00:00
2026-06-08,부산,19.6,22.6,23.7,18.8,96,0.1,48,2.0,0.35,16.6,15.0,2026-06-08T00:19:38.398794+00:00
2026-06-09,서울,19.2,20.7,26.6,15.2,73,0.0,0,0.8,4.4,14.8,14.3,2026-06-09T00:14:13.852664+00:00
2026-06-09,부산,21.4,22.3,24.2,18.1,72,0.0,0,8.2,3.15,11.6,8.2,2026-06-09T00:14:13.852664+00:00
2026-06-10,서울,20.4,22.4,25.0,15.8,79,0.0,0,2.8,4.7,54.4,29.7,2026-06-10T00:22:36.822980+00:00
2026-06-10,부산,23.7,24.3,28.3,17.0,53,0.0,0,6.4,5.0,41.7,34.1,2026-06-10T00:22:36.822980+00:00
2026-06-11,서울,21.5,24.5,24.5,15.2,68,0.0,10,3.1,6.45,13.2,12.7,2026-06-11T01:35:21.967595+00:00
2026-06-11,부산,24.0,26.9,26.9,17.3,63,0.0,0,6.8,6.3,43.5,31.0,2026-06-11T01:35:21.967595+00:00
2026-06-12,서울,23.1,26.0,26.0,15.2,62,0.0,0,3.3,6.4,21.8,16.7,2026-06-12T01:36:42.870830+00:00
2026-06-12,부산,23.9,26.5,27.7,17.8,59,0.0,0,6.7,6.65,12.6,11.6,2026-06-12T01:36:42.870830+00:00
2026-06-13,서울,23.3,26.2,29.1,15.3,59,0.0,0,2.3,6.55,38.5,28.9,2026-06-13T01:33:00.943943+00:00
2026-06-13,부산,26.5,30.2,27.5,17.8,58,0.0,0,5.0,6.7,24.7,20.4,2026-06-13T01:33:00.943943+00:00
2026-06-14,서울,21.9,25.1,27.0,18.3,85,0.0,14,2.2,4.3,33.2,22.5,2026-06-14T00:18:23.189542+00:00
2026-06-14,부산,23.5,26.5,27.4,18.3,76,0.0,0,3.3,3.4,34.6,20.4,2026-06-14T00:18:23.189542+00:00
2026-06-15,서울,22.8,25.3,30.4,18.3,71,0.0,0,2.2,4.65,41.7,35.9,2026-06-15T00:21:07.603516+00:00
2026-06-15,부산,23.9,25.8,26.2,18.7,72,0.0,4,8.7,4.85,19.0,13.1,2026-06-15T00:21:07.603516+00:00
2026-06-16,서울,25.7,29.2,30.0,19.9,64,0.0,12,3.3,6.3,31.3,28.3,2026-06-16T01:44:36.927316+00:00
2026-06-16,부산,25.4,29.1,25.7,19.6,73,0.0,1,10.1,6.4,19.5,14.0,2026-06-16T01:44:36.927316+00:00
2026-06-17,서울,25.4,28.7,28.8,19.6,71,0.0,0,3.5,2.85,37.3,34.1,2026-06-17T01:39:01.600599+00:00
2026-06-17,부산,25.8,29.5,26.3,20.6,75,0.0,36,4.8,5.7,16.8,12.5,2026-06-17T01:39:01.600599+00:00
2026-06-18,서울,25.0,28.6,29.7,19.0,72,0.0,0,1.1,6.5,31.3,28.0,2026-06-18T01:36:24.432098+00:00
2026-06-18,부산,25.2,29.6,26.7,20.9,84,0.0,72,5.3,5.85,12.8,10.0,2026-06-18T01:36:24.432098+00:00
2026-06-19,서울,26.7,31.3,29.3,19.9,73,0.0,14,1.4,5.85,28.2,22.7,2026-06-19T01:50:51.946526+00:00
2026-06-19,부산,25.2,29.6,26.0,21.1,86,0.0,61,5.9,5.75,12.5,10.0,2026-06-19T01:50:51.946526+00:00
2026-06-20,서울,20.1,21.8,22.9,19.6,91,0.9,100,10.1,0.15,4.3,4.3,2026-06-20T00:18:06.959000+00:00
2026-06-20,부산,23.2,26.1,26.7,22.7,99,0.5,100,17.5,0.25,7.4,5.6,2026-06-20T00:18:06.959000+00:00
2026-06-21,서울,22.2,23.8,28.2,18.1,66,0.0,0,1.9,4.2,7.2,6.4,2026-06-21T00:19:20.989545+00:00
2026-06-21,부산,24.4,27.0,26.4,20.9,72,0.0,0,4.9,3.3,6.7,6.2,2026-06-21T00:19:20.989545+00:00
2026-06-22,서울,22.0,24.0,26.7,19.7,75,0.0,6,4.4,2.1,30.5,27.0,2026-06-22T00:20:17.142234+00:00
2026-06-22,부산,20.2,22.9,22.1,19.6,93,0.1,58,5.1,0.55,13.5,10.0,2026-06-22T00:20:17.142234+00:00
2026-06-23,서울,22.5,24.0,29.7,18.6,67,0.0,0,6.2,4.75,17.7,16.1,2026-06-23T00:18:07.717783+00:00
2026-06-23,부산,22.7,23.9,23.3,19.5,79,0.0,2,14.2,1.85,9.3,6.3,2026-06-23T00:18:07.717783+00:00
2026-06-24,서울,20.8,21.5,28.3,17.3,67,0.0,0,5.0,3.55,22.9,14.6,2026-06-24T00:07:24.936676+00:00
2026-06-24,부산,21.1,22.0,21.1,20.2,87,0.0,65,16.5,0.7,8.0,5.3,2026-06-24T00:07:24.936676+00:00
2026-06-25,서울,20.6,21.7,24.5,18.6,70,0.0,0,4.1,4.3,20.8,14.5,2026-06-25T00:19:57.286055+00:00
