date,location,temp_c,feels_like_c,temp_max_c,temp_min_c,humidity_pct,precip_mm,precip_prob_pct,wind_kmh,uv_index,pm10,pm2_5,collected_at
2026-05-01,서울,19.2,17.7,20.6,10.5,53,0.0,0,9.5,3.85,10.0,9.4,2026-05-01T07:40:22.866229+00:00
2026-05-01,부산,22.4,20.7,22.7,9.6,41,0.0,0,9.1,3.6,14.3,13.0,2026-05-01T07:40:22.866229+00:00
2026-05-02,서울,18.7,19.0,18.8,8.4,70,0.0,2,5.0,4.9,42.5,39.1,2026-05-02T06:25:54.123532+00:00
2026-05-02,부산,22.0,22.1,23.1,13.5,56,0.0,2,5.4,4.8,23.2,21.8,2026-05-02T06:25:54.123532+00:00
2026-05-03,서울,13.2,12.5,14.0,10.9,82,0.0,0,5.3,1.0,16.4,12.3,2026-05-03T07:27:26.964713+00:00
2026-05-03,부산,16.3,16.6,17.3,13.2,94,0.1,83,9.8,0.65,7.0,6.7,2026-05-03T07:27:26.964713+00:00
2026-05-04,서울,17.1,15.1,19.0,8.2,52,0.0,0,9.1,3.15,15.6,10.0,2026-05-04T08:09:03.627283+00:00
2026-05-04,부산,20.0,17.3,20.5,11.1,36,0.0,0,8.9,2.8,11.4,10.2,2026-05-04T08:09:03.627283+00:00
2026-05-05,서울,19.2,17.9,19.4,6.9,41,0.0,0,7.3,5.5,6.0,5.1,2026-05-05T06:38:00.372480+00:00
2026-05-05,부산,19.0,17.7,20.0,9.9,50,0.0,0,11.4,5.3,13.8,11.5,2026-05-05T06:38:00.372480+00:00
2026-05-07,서울,13.7,13.9,18.3,10.2,95,0.1,77,5.2,0.25,27.8,21.9,2026-05-07T08:06:37.297882+00:00
2026-05-07,부산,20.3,19.6,21.7,12.7,60,0.0,0,9.4,2.35,11.7,10.5,2026-05-07T08:06:37.297882+00:00
2026-05-08,서울,19.2,17.5,19.2,9.6,37,0.0,0,10.8,6.25,9.3,7.1,2026-05-08T06:11:56.236158+00:00
2026-05-08,부산,21.1,19.2,21.1,13.4,37,0.0,0,14.2,6.2,11.4,9.2,2026-05-08T06:11:56.236158+00:00
2026-05-09,서울,19.5,17.4,20.1,8.5,37,0.0,0,7.6,5.65,8.5,8.3,2026-05-09T06:34:34.048003+00:00
2026-05-09,부산,19.2,18.1,21.5,9.9,51,0.0,0,10.8,5.45,15.0,13.3,2026-05-09T06:34:34.048003+00:00
2026-05-10,서울,20.7,18.5,22.1,9.3,35,0.0,0,6.6,3.9,7.7,6.5,2026-05-10T07:37:05.331125+00:00
2026-05-10,부산,21.1,19.3,21.5,11.9,42,0.0,0,8.2,3.85,9.8,8.1,2026-05-10T07:37:05.331125+00:00
2026-05-11,서울,16.4,17.5,19.7,9.7,89,0.0,90,3.1,0.05,22.1,19.2,2026-05-11T10:48:58.595626+00:00
2026-05-11,부산,17.5,17.7,21.7,13.1,75,0.0,0,5.6,0.05,11.4,9.8,2026-05-11T10:48:58.595626+00:00
2026-05-12,서울,22.1,23.3,22.4,13.7,67,0.0,10,5.1,3.25,17.5,15.2,2026-05-12T08:14:53.047093+00:00
2026-05-12,부산,16.2,16.6,17.9,14.4,88,0.0,89,6.2,1.2,11.6,6.3,2026-05-12T08:14:53.047093+00:00
2026-05-13,서울,19.5,20.4,23.5,12.3,72,0.0,0,4.0,1.15,31.3,25.1,2026-05-13T09:32:16.444926+00:00
2026-05-13,부산,19.4,20.5,23.0,13.6,76,0.0,2,4.0,0.9,15.7,13.2,2026-05-13T09:32:16.444926+00:00
2026-05-14,서울,27.6,28.3,29.1,13.1,41,0.0,0,2.3,1.5,26.5,22.9,2026-05-14T09:18:35.467064+00:00
2026-05-14,부산,19.8,19.9,23.3,15.1,72,0.0,0,9.4,1.25,13.6,10.0,2026-05-14T09:18:35.467064+00:00
2026-05-17,서울,14.2,14.7,25.1,11.2,90,0.0,0,2.2,3.5,48.5,47.7,2026-05-17T00:03:41.039104+00:00
2026-05-17,부산,22.0,23.8,29.3,16.0,69,0.0,0,4.7,3.75,22.9,20.5,2026-05-17T00:03:41.039104+00:00
2026-05-18,서울,18.3,19.3,27.2,12.4,71,0.0,0,1.9,3.65,45.6,41.1,2026-05-18T00:07:32.389572+00:00
2026-05-18,부산,18.2,20.0,26.6,13.9,86,0.0,0,3.8,3.8,13.8,12.0,2026-05-18T00:07:32.389572+00:00
2026-05-19,서울,17.5,17.6,22.7,15.2,68,0.0,2,2.4,2.1,39.7,38.2,2026-05-19T00:16:58.854775+00:00
2026-05-19,부산,22.5,23.7,26.0,16.2,59,0.0,0,5.6,3.9,17.9,15.0,2026-05-19T00:16:58.854775+00:00
2026-05-20,서울,14.9,14.4,18.3,14.7,90,0.7,74,10.5,0.3,33.9,29.8,2026-05-20T00:16:14.608961+00:00
2026-05-20,부산,18.2,19.1,20.2,17.0,95,1.2,95,11.4,0.15,17.8,13.6,2026-05-20T00:16:14.608961+00:00
2026-05-21,서울,15.9,16.6,17.0,15.1,92,0.2,78,5.7,0.2,8.2,8.1,2026-05-21T00:15:58.455715+00:00
2026-05-21,부산,19.0,22.1,22.4,16.7,99,0.0,5,1.0,1.15,11.7,11.3,2026-05-21T00:15:58.455715+00:00
