date,location,temp_c,feels_like_c,temp_max_c,temp_min_c,humidity_pct,precip_mm,precip_prob_pct,wind_kmh,uv_index,pm10,pm2_5,collected_at
2026-04-18,서울,22.8,22.5,23.3,7.5,48,0.0,0,5.1,3.0,80.6,19.2,2026-04-18T07:55:56.894329+00:00
2026-04-18,부산,20.5,21.7,22.2,13.3,72,0.0,0,4.4,2.45,13.2,9.9,2026-04-18T07:55:56.894329+00:00
2026-04-18,서울,22.7,22.4,23.3,7.5,49,0.0,0,5.1,2.75,80.3,19.2,2026-04-18T08:05:07.068808+00:00
2026-04-18,부산,20.3,21.5,22.2,13.3,73,0.0,0,4.0,2.05,13.6,10.2,2026-04-18T08:05:07.068808+00:00
2026-04-19,서울,25.3,26.2,25.3,10.3,49,0.0,0,5.2,5.6,70.1,28.5,2026-04-19T06:10:27.645128+00:00
2026-04-19,부산,20.0,20.8,21.8,13.5,77,0.0,5,8.5,5.75,17.2,12.4,2026-04-19T06:10:27.645128+00:00
2026-04-20,서울,11.0,9.5,12.0,6.6,84,0.1,22,7.6,3.75,133.6,59.8,2026-04-20T06:35:01.787622+00:00
2026-04-20,부산,19.0,19.4,20.1,12.8,81,0.0,0,10.4,5.0,21.8,15.3,2026-04-20T06:35:01.787622+00:00
2026-04-21,서울,15.9,13.7,16.9,4.1,52,0.0,0,8.1,4.25,81.3,29.9,2026-04-21T06:18:05.283040+00:00
2026-04-21,부산,18.0,16.3,18.7,8.1,42,0.0,0,9.7,5.5,99.9,43.5,2026-04-21T06:18:05.283040+00:00
2026-04-22,서울,17.3,15.9,17.3,6.3,43,0.0,0,6.8,5.4,25.8,13.2,2026-04-22T06:15:36.119287+00:00
2026-04-22,부산,12.6,11.4,15.9,10.8,82,0.1,11,7.5,0.65,53.4,29.3,2026-04-22T06:15:36.119287+00:00
2026-04-23,서울,19.9,18.2,20.0,7.8,34,0.0,0,8.2,5.0,10.3,8.6,2026-04-23T06:23:16.025266+00:00
2026-04-23,부산,18.1,16.2,18.4,10.6,63,0.0,0,15.6,4.85,32.9,19.7,2026-04-23T06:23:16.025266+00:00
2026-04-24,서울,22.6,21.8,22.5,6.7,29,0.0,0,2.6,5.6,14.4,12.6,2026-04-24T06:27:15.658643+00:00
2026-04-24,부산,17.7,15.7,18.0,10.7,51,0.0,0,13.8,5.55,15.2,11.5,2026-04-24T06:27:15.658643+00:00
