date,location,temp_c,feels_like_c,temp_max_c,temp_min_c,humidity_pct,precip_mm,precip_prob_pct,wind_kmh,uv_index,pm10,pm2_5,collected_at
2026-09-01,서울,24.5,29.4,25.0,21.5,94,0.2,94,6.3,2.0,9.1,9.0,2026-09-01T01:47:26.242412+00:00
2026-09-01,부산,30.8,36.8,30.9,24.5,70,0.0,63,9.4,5.95,8.9,6.6,2026-09-01T01:47:26.242412+00:00
2026-09-02,서울,24.1,27.8,28.9,21.0,80,0.0,17,2.2,3.1,13.3,13.2,2026-09-02T00:59:30.869014+00:00
2026-09-02,부산,28.5,33.9,31.5,24.1,76,0.0,24,4.0,3.9,12.4,10.0,2026-09-02T00:59:30.869014+00:00
2026-09-03,서울,25.5,29.7,31.0,20.3,75,0.0,0,3.9,4.75,25.4,22.7,2026-09-03T01:05:17.743785+00:00
2026-09-03,부산,28.7,34.6,29.6,24.7,82,0.0,0,7.6,2.55,5.2,4.4,2026-09-03T01:05:17.743785+00:00
2026-09-04,서울,24.2,25.3,28.8,20.3,61,0.0,0,9.3,4.3,13.8,11.3,2026-09-04T00:56:24.567832+00:00
2026-09-04,부산,25.4,26.1,27.1,24.7,67,0.0,4,17.3,4.05,15.1,9.4,2026-09-04T00:56:24.567832+00:00
2026-09-05,서울,23.3,24.7,27.5,18.2,66,0.0,0,8.4,4.3,12.3,9.9,2026-09-05T00:53:00.361146+00:00
2026-09-05,부산,26.8,27.9,28.2,23.6,63,0.0,0,16.7,4.55,15.5,10.0,2026-09-05T00:53:00.361146+00:00
2026-09-06,서울,23.6,24.8,27.3,18.6,64,0.0,0,8.2,4.25,10.5,8.5,2026-09-06T00:51:37.957804+00:00
2026-09-06,부산,26.1,27.4,26.5,24.1,66,0.0,10,15.5,4.45,22.5,14.9,2026-09-06T00:51:37.957804+00:00
2026-09-07,서울,22.7,24.3,28.2,18.0,67,0.0,0,6.5,4.25,12.7,10.0,2026-09-07T00:56:24.517648+00:00
2026-09-07,부산,25.8,27.5,27.9,21.7,69,0.0,0,14.3,4.4,29.4,22.2,2026-09-07T00:56:24.517648+00:00
2026-09-08,서울,22.3,23.9,28.8,16.6,60,0.0,0,2.6,4.35,26.5,23.7,2026-09-08T01:08:25.132375+00:00
2026-09-08,부산,25.7,28.5,28.3,20.9,70,0.0,0,10.4,4.9,26.3,20.1,2026-09-08T01:08:25.132375+00:00
2026-09-09,서울,21.0,20.3,24.1,17.7,58,0.0,0,10.2,1.35,14.3,10.8,2026-09-09T01:12:35.574431+00:00
2026-09-09,부산,24.2,24.6,25.2,20.7,65,0.0,0,16.3,3.7,19.2,13.0,2026-09-09T01:12:35.574431+00:00
2026-09-10,서울,18.5,18.2,21.8,14.8,64,0.0,0,5.9,3.1,14.1,11.4,2026-09-10T01:00:54.316495+00:00
2026-09-10,부산,23.3,23.8,24.5,19.2,66,0.0,0,12.7,3.65,13.3,8.2,2026-09-10T01:00:54.316495+00:00
2026-09-11,서울,19.7,20.6,25.1,14.1,63,0.0,0,1.8,3.1,18.2,16.4,2026-09-11T00:59:49.132460+00:00
2026-09-11,부산,23.6,25.4,26.4,20.1,73,0.0,0,8.7,4.45,14.1,10.0,2026-09-11T00:59:49.132460+00:00
2026-09-12,서울,20.6,21.5,25.6,16.5,66,0.0,0,2.4,3.4,32.1,28.3,2026-09-12T01:03:54.577275+00:00
2026-09-12,부산,25.3,27.8,27.3,19.3,71,0.0,0,9.2,4.6,14.3,10.1,2026-09-12T01:03:54.577275+00:00
