date,location,temp_c,feels_like_c,temp_max_c,temp_min_c,humidity_pct,precip_mm,precip_prob_pct,wind_kmh,uv_index,pm10,pm2_5,collected_at
2026-08-01,서울,28.3,35.2,33.1,25.4,87,0.0,51,3.5,3.4,35.5,29.9,2026-08-01T00:09:24.860887+00:00
2026-08-01,부산,30.4,35.7,37.1,25.7,71,0.0,0,7.8,4.05,16.2,15.5,2026-08-01T00:09:24.860887+00:00
2026-08-02,서울,27.7,34.4,33.3,25.0,86,0.0,0,1.1,3.8,22.8,19.9,2026-08-02T00:07:27.448431+00:00
2026-08-02,부산,30.7,36.2,37.1,26.2,71,0.0,0,7.9,4.0,18.7,18.0,2026-08-02T00:07:27.448431+00:00
2026-08-03,서울,26.1,32.6,35.0,23.6,93,0.0,0,0.7,3.8,44.0,42.1,2026-08-03T00:07:57.687693+00:00
2026-08-03,부산,30.8,36.9,34.4,26.2,73,0.0,0,6.0,3.95,18.1,15.7,2026-08-03T00:07:57.687693+00:00
2026-08-04,서울,28.7,34.3,35.0,25.9,76,0.0,0,4.0,3.75,23.3,22.3,2026-08-04T00:14:35.678672+00:00
2026-08-04,부산,29.5,35.8,31.9,26.3,81,0.0,0,7.3,3.9,14.5,11.3,2026-08-04T00:14:35.678672+00:00
2026-08-05,서울,28.2,34.2,35.0,25.9,81,0.0,0,3.1,3.75,19.2,18.5,2026-08-05T00:12:38.643877+00:00
2026-08-05,부산,28.9,34.5,31.2,26.1,81,0.0,0,8.8,3.85,13.7,9.8,2026-08-05T00:12:38.643877+00:00
2026-08-06,서울,28.4,33.8,34.9,25.6,77,0.0,0,4.9,3.8,16.8,16.1,2026-08-06T00:07:53.643377+00:00
2026-08-06,부산,28.6,33.5,31.5,25.0,79,0.0,0,10.8,3.9,13.9,9.7,2026-08-06T00:07:53.643377+00:00
2026-08-07,서울,30.6,36.8,35.2,24.8,66,0.0,0,3.4,6.1,16.0,15.5,2026-08-07T01:42:44.219245+00:00
2026-08-07,부산,31.3,37.8,32.6,25.6,74,0.0,1,12.7,6.0,15.7,11.2,2026-08-07T01:42:44.219245+00:00
2026-08-08,서울,28.1,32.8,32.9,25.4,76,0.0,18,7.9,2.9,11.5,10.7,2026-08-07T23:44:19.662061+00:00
2026-08-08,부산,29.0,34.9,31.7,26.9,81,0.0,13,8.1,2.1,9.7,7.3,2026-08-07T23:44:19.662061+00:00
2026-08-09,서울,25.5,28.4,30.2,23.5,76,0.0,0,10.2,2.45,9.9,7.7,2026-08-08T23:39:41.450387+00:00
2026-08-09,부산,27.0,32.6,28.3,26.2,93,0.6,76,11.8,2.15,10.0,7.4,2026-08-08T23:39:41.450387+00:00
2026-08-10,서울,25.0,27.7,32.7,23.8,73,0.0,0,7.9,2.55,12.2,9.1,2026-08-09T23:42:06.863615+00:00
2026-08-10,부산,26.8,30.2,28.7,25.5,79,0.0,29,14.2,1.45,16.4,10.1,2026-08-09T23:42:06.863615+00:00
2026-08-11,서울,24.4,27.2,31.9,22.1,75,0.0,0,6.7,2.8,13.4,10.6,2026-08-10T23:47:08.344533+00:00
2026-08-11,부산,26.1,28.3,28.3,23.4,71,0.0,0,12.4,2.5,19.6,12.0,2026-08-10T23:47:08.344533+00:00
2026-08-12,서울,22.7,24.0,29.3,19.7,69,0.0,0,7.6,3.25,13.2,9.9,2026-08-11T23:54:01.192465+00:00
2026-08-12,부산,25.1,27.2,28.3,22.1,73,0.0,0,11.6,2.8,21.5,13.4,2026-08-11T23:54:01.192465+00:00
2026-08-13,서울,24.2,27.6,29.0,20.9,78,0.0,0,3.3,2.9,6.8,6.0,2026-08-12T23:54:11.705243+00:00
2026-08-13,부산,26.4,30.6,29.6,24.0,77,0.0,0,5.4,3.35,6.2,4.7,2026-08-12T23:54:11.705243+00:00
2026-08-14,서울,23.8,27.4,27.4,22.3,82,0.0,1,3.6,0.55,10.5,9.5,2026-08-13T23:53:12.082396+00:00
2026-08-14,부산,26.7,31.8,29.7,23.9,80,0.0,0,2.7,3.35,11.1,8.5,2026-08-13T23:53:12.082396+00:00
2026-08-15,서울,23.7,28.2,25.8,23.2,91,0.0,22,4.0,0.5,20.7,20.1,2026-08-14T23:32:05.000887+00:00
2026-08-15,부산,25.9,31.0,28.1,24.1,84,0.0,1,2.3,2.55,18.9,14.0,2026-08-14T23:32:05.000887+00:00
2026-08-16,서울,23.6,28.4,25.8,22.9,95,0.0,98,4.3,0.55,26.9,26.3,2026-08-15T23:30:56.579680+00:00
2026-08-16,부산,24.0,27.1,25.4,21.7,84,0.0,98,9.4,0.15,9.3,7.7,2026-08-15T23:30:56.579680+00:00
2026-08-17,서울,23.0,27.3,28.4,22.8,93,0.1,24,4.0,0.7,10.0,9.9,2026-08-16T23:30:31.641119+00:00
2026-08-17,부산,24.2,28.1,26.3,24.0,94,1.8,100,11.4,0.0,3.1,2.4,2026-08-16T23:30:31.641119+00:00
2026-08-18,서울,25.1,30.1,30.4,22.8,89,0.0,22,4.1,2.55,38.8,38.4,2026-08-17T23:33:11.957700+00:00
